Ш (0.948);Щ (0.932);Н (0.914);М (0.904);Ю (0.890);И (0.886);Й (0.877);Ц (0.876);Ж (0.875);О (0.872);Ф (0.871);Ь (0.870);Ъ (0.852);Д (0.846);Ч (0.836);Э (0.834);А (0.834);Б (0.816);В (0.816);Х (0.815);Я (0.813);П (0.809);Л (0.796);К (0.793);З (0.783);Е (0.779);Ё (0.774);С (0.766);Р (0.764);У (0.758);Т (0.607);Г (0.565);I (0.553)
И (0.965);Ф (0.939);М (0.938);Н (0.921);Ж (0.909);Щ (0.907);Я (0.901);В (0.896);Й (0.895);Б (0.882);Д (0.879);Ю (0.875);Ш (0.873);О (0.869);Э (0.856);К (0.856);П (0.854);А (0.852);Х (0.845);Р (0.844);Е (0.842);Ь (0.841);Ц (0.840);Л (0.836);Ъ (0.830);Ч (0.825);З (0.821);Ё (0.809);У (0.774);С (0.766);Т (0.658);I (0.621);Г (0.604)
Р (0.949);Е (0.875);К (0.870);П (0.856);Б (0.825);Ю (0.824);Ё (0.821);Ж (0.820);Х (0.818);О (0.817);Д (0.812);Н (0.811);Ф (0.808);В (0.806);Щ (0.804);И (0.800);Я (0.796);А (0.795);Й (0.792);Л (0.789);Ц (0.787);С (0.785);М (0.781);У (0.779);Э (0.777);Ь (0.770);Ъ (0.763);Ч (0.762);Ш (0.756);З (0.752);Г (0.743);Т (0.740);I (0.566)
О (0.979);Ц (0.938);Ъ (0.916);Д (0.907);Х (0.904);Э (0.903);Ч (0.890);Щ (0.889);Л (0.888);С (0.886);Ю (0.884);У (0.883);П (0.877);Н (0.868);Ш (0.865);Ж (0.863);А (0.862);Й (0.860);З (0.845);Ь (0.825);Ф (0.821);Ё (0.819);И (0.817);Е (0.815);К (0.813);М (0.812);Б (0.806);Я (0.805);Р (0.793);В (0.778);Т (0.738);Г (0.674);I (0.516)
К (0.972);Е (0.957);Ё (0.945);Б (0.918);Й (0.884);Д (0.876);В (0.867);Р (0.859);Ь (0.848);Х (0.846);А (0.845);О (0.830);Ф (0.829);И (0.825);С (0.823);Ц (0.822);Э (0.820);З (0.819);Щ (0.813);Ж (0.808);П (0.806);Ю (0.805);Я (0.802);Н (0.801);Л (0.794);М (0.792);Ъ (0.791);У (0.786);Ш (0.771);Ч (0.739);Г (0.725);Т (0.715);I (0.624)
А (0.979);Х (0.925);Ъ (0.913);Й (0.902);Д (0.901);Э (0.892);О (0.871);Ж (0.869);Ц (0.869);Ь (0.863);У (0.862);Щ (0.860);Ф (0.858);З (0.842);Ё (0.837);Л (0.831);К (0.831);Н (0.830);Ю (0.824);Ч (0.822);Ш (0.819);И (0.818);С (0.814);Б (0.813);Е (0.807);Я (0.805);М (0.801);В (0.790);П (0.782);Р (0.778);Т (0.707);Г (0.632);I (0.522)
Я (0.969);И (0.900);Ф (0.897);Л (0.881);Д (0.880);Э (0.878);Ж (0.876);В (0.871);М (0.868);З (0.862);Н (0.859);Й (0.855);Б (0.854);Х (0.854);П (0.851);О (0.842);Щ (0.840);А (0.836);Р (0.830);К (0.830);Е (0.824);Ч (0.817);Ъ (0.814);Ю (0.812);Ш (0.806);Ц (0.796);У (0.792);Ё (0.787);Ь (0.772);С (0.752);Т (0.706);I (0.636);Г (0.603)
Э (0.974);З (0.934);Д (0.930);Л (0.927);Х (0.918);Ъ (0.894);У (0.891);О (0.886);А (0.871);Й (0.862);Ц (0.854);Ч (0.844);С (0.838);Ж (0.832);Я (0.832);Щ (0.826);П (0.821);Ф (0.817);Н (0.813);Ё (0.809);И (0.805);Б (0.802);Ш (0.800);Ю (0.797);К (0.797);Е (0.796);М (0.784);Ь (0.784);В (0.781);Т (0.760);Р (0.756);Г (0.637);I (0.547)
Л (0.988);Э (0.928);З (0.901);Д (0.897);Х (0.893);О (0.885);У (0.884);П (0.866);Ъ (0.861);Ч (0.860);Я (0.845);Ц (0.834);Ж (0.831);С (0.830);А (0.830);Й (0.822);Н (0.818);Щ (0.818);Ф (0.805);Ю (0.803);И (0.801);Е (0.793);Ш (0.791);Б (0.790);Т (0.788);К (0.785);Ё (0.783);М (0.783);Р (0.777);В (0.774);Ь (0.747);Г (0.652);I (0.548)
Ё (0.953);Е (0.940);К (0.923);Б (0.908);Й (0.868);Д (0.867);В (0.849);С (0.839);Ь (0.829);З (0.825);Х (0.821);О (0.818);Ц (0.816);Р (0.815);А (0.811);Э (0.810);И (0.798);П (0.792);Ф (0.790);Л (0.786);Щ (0.786);Ю (0.780);Я (0.776);Н (0.773);Ъ (0.772);У (0.772);Ж (0.769);М (0.766);Ш (0.754);Г (0.734);Ч (0.718);Т (0.710);I (0.636)
К (0.972);Е (0.957);Ё (0.945);Б (0.918);Й (0.884);Д (0.876);В (0.867);Р (0.859);Ь (0.848);Х (0.846);А (0.845);О (0.830);Ф (0.829);И (0.825);С (0.823);Ц (0.822);Э (0.820);З (0.819);Щ (0.813);Ж (0.808);П (0.806);Ю (0.805);Я (0.802);Н (0.801);Л (0.794);М (0.792);Ъ (0.791);У (0.786);Ш (0.771);Ч (0.739);Г (0.725);Т (0.715);I (0.624)
Т (0.926);У (0.797);С (0.766);Г (0.750);Л (0.750);Х (0.744);З (0.741);Э (0.724);Д (0.720);Ё (0.702);О (0.699);П (0.692);Ъ (0.689);Е (0.687);А (0.681);Ц (0.672);К (0.669);Ч (0.661);Р (0.655);Й (0.650);Б (0.639);Я (0.639);Ж (0.631);Ю (0.618);Щ (0.616);Н (0.606);Ф (0.605);В (0.601);Ь (0.594);И (0.589);Ш (0.581);М (0.563);I (0.427)
Р (0.949);Е (0.875);К (0.870);П (0.856);Б (0.825);Ю (0.824);Ё (0.821);Ж (0.820);Х (0.818);О (0.817);Д (0.812);Н (0.811);Ф (0.808);В (0.806);Щ (0.804);И (0.800);Я (0.796);А (0.795);Й (0.792);Л (0.789);Ц (0.787);С (0.785);М (0.781);У (0.779);Э (0.777);Ь (0.770);Ъ (0.763);Ч (0.762);Ш (0.756);З (0.752);Г (0.743);Т (0.740);I (0.566)
И (0.965);Ф (0.939);М (0.938);Н (0.921);Ж (0.909);Щ (0.907);Я (0.901);В (0.896);Й (0.895);Б (0.882);Д (0.879);Ю (0.875);Ш (0.873);О (0.869);Э (0.856);К (0.856);П (0.854);А (0.852);Х (0.845);Р (0.844);Е (0.842);Ь (0.841);Ц (0.840);Л (0.836);Ъ (0.830);Ч (0.825);З (0.821);Ё (0.809);У (0.774);С (0.766);Т (0.658);I (0.621);Г (0.604)
Ф (0.967);Ж (0.942);И (0.915);Н (0.898);Я (0.896);М (0.894);Щ (0.894);А (0.893);Й (0.886);Д (0.875);Х (0.872);В (0.862);Э (0.861);Ю (0.858);О (0.857);Б (0.852);К (0.850);Р (0.848);Ъ (0.847);Ш (0.845);Ь (0.835);Л (0.834);Ч (0.830);П (0.829);Ц (0.828);Е (0.826);З (0.816);Ё (0.804);У (0.797);С (0.756);Т (0.676);Г (0.603);I (0.586)
И (0.965);Ф (0.939);М (0.938);Н (0.921);Ж (0.909);Щ (0.907);Я (0.901);В (0.896);Й (0.895);Б (0.882);Д (0.879);Ю (0.875);Ш (0.873);О (0.869);Э (0.856);К (0.856);П (0.854);А (0.852);Х (0.845);Р (0.844);Е (0.842);Ь (0.841);Ц (0.840);Л (0.836);Ъ (0.830);Ч (0.825);З (0.821);Ё (0.809);У (0.774);С (0.766);Т (0.658);I (0.621);Г (0.604)
К (0.972);Е (0.957);Ё (0.945);Б (0.918);Й (0.884);Д (0.876);В (0.867);Р (0.859);Ь (0.848);Х (0.846);А (0.845);О (0.830);Ф (0.829);И (0.825);С (0.823);Ц (0.822);Э (0.820);З (0.819);Щ (0.813);Ж (0.808);П (0.806);Ю (0.805);Я (0.802);Н (0.801);Л (0.794);М (0.792);Ъ (0.791);У (0.786);Ш (0.771);Ч (0.739);Г (0.725);Т (0.715);I (0.624)
А (0.979);Х (0.925);Ъ (0.913);Й (0.902);Д (0.901);Э (0.892);О (0.871);Ж (0.869);Ц (0.869);Ь (0.863);У (0.862);Щ (0.860);Ф (0.858);З (0.842);Ё (0.837);Л (0.831);К (0.831);Н (0.830);Ю (0.824);Ч (0.822);Ш (0.819);И (0.818);С (0.814);Б (0.813);Е (0.807);Я (0.805);М (0.801);В (0.790);П (0.782);Р (0.778);Т (0.707);Г (0.632);I (0.522)
Ц (0.974);О (0.942);Ъ (0.918);Щ (0.888);Ю (0.882);С (0.880);Ш (0.877);Д (0.876);Х (0.873);Ч (0.871);Э (0.870);У (0.856);Н (0.855);Й (0.853);А (0.853);Ь (0.845);Ж (0.842);Л (0.839);П (0.834);З (0.812);Ё (0.807);Ф (0.801);М (0.797);И (0.796);К (0.791);Е (0.789);Б (0.784);Я (0.766);Р (0.760);В (0.754);Т (0.698);Г (0.655);I (0.488)
И (0.965);Ф (0.939);М (0.938);Н (0.921);Ж (0.909);Щ (0.907);Я (0.901);В (0.896);Й (0.895);Б (0.882);Д (0.879);Ю (0.875);Ш (0.873);О (0.869);Э (0.856);К (0.856);П (0.854);А (0.852);Х (0.845);Р (0.844);Е (0.842);Ь (0.841);Ц (0.840);Л (0.836);Ъ (0.830);Ч (0.825);З (0.821);Ё (0.809);У (0.774);С (0.766);Т (0.658);I (0.621);Г (0.604)
Я (0.969);И (0.900);Ф (0.897);Л (0.881);Д (0.880);Э (0.878);Ж (0.876);В (0.871);М (0.868);З (0.862);Н (0.859);Й (0.855);Б (0.854);Х (0.854);П (0.851);О (0.842);Щ (0.840);А (0.836);Р (0.830);К (0.830);Е (0.824);Ч (0.817);Ъ (0.814);Ю (0.812);Ш (0.806);Ц (0.796);У (0.792);Ё (0.787);Ь (0.772);С (0.752);Т (0.706);I (0.636);Г (0.603)
Ю (0.969);Щ (0.942);Н (0.939);Ш (0.928);Ж (0.895);О (0.886);Ч (0.876);Ц (0.875);М (0.870);П (0.856);И (0.847);Ъ (0.845);Ф (0.845);Ь (0.827);Й (0.818);Д (0.816);Х (0.815);А (0.814);Э (0.806);Р (0.806);Л (0.795);Я (0.792);К (0.782);Б (0.779);С (0.775);У (0.775);В (0.775);Е (0.773);Ё (0.753);З (0.742);Т (0.637);Г (0.605);I (0.500)
Ж (0.975);Щ (0.927);Н (0.920);Ф (0.908);Ю (0.897);А (0.895);О (0.894);Ъ (0.891);Х (0.889);Ч (0.887);Ш (0.876);И (0.873);М (0.873);Д (0.870);Э (0.869);Ц (0.864);Й (0.863);Я (0.854);П (0.848);Л (0.846);Ь (0.833);У (0.830);Р (0.829);К (0.817);Б (0.808);В (0.807);З (0.803);Е (0.799);Ё (0.786);С (0.780);Т (0.688);Г (0.611);I (0.527)
Щ (0.974);Н (0.963);Ю (0.944);Ш (0.936);Ж (0.928);О (0.920);Ц (0.896);М (0.895);Ч (0.895);И (0.882);Ф (0.882);Ъ (0.882);П (0.871);Д (0.866);Й (0.863);Э (0.859);Х (0.858);А (0.854);Ь (0.844);Л (0.841);Я (0.837);Р (0.815);Б (0.814);В (0.810);К (0.809);У (0.807);Е (0.800);С (0.797);З (0.796);Ё (0.783);Т (0.665);Г (0.611);I (0.534)
Ь (0.969);Й (0.893);Ё (0.853);А (0.847);Ц (0.846);К (0.841);Щ (0.837);Б (0.834);Д (0.828);Ш (0.818);Ф (0.817);Е (0.815);Ю (0.813);О (0.813);Ъ (0.809);И (0.808);В (0.804);Н (0.803);Х (0.802);Ж (0.799);М (0.797);Э (0.787);С (0.780);З (0.759);Р (0.754);У (0.741);Я (0.739);Ч (0.734);П (0.733);Л (0.730);Г (0.617);Т (0.604);I (0.550)
I (0.985);В (0.723);Б (0.696);Я (0.655);Е (0.655);К (0.648);И (0.648);М (0.615);Ф (0.613);Й (0.612);Р (0.611);Ё (0.610);З (0.609);Д (0.595);П (0.568);Э (0.565);Л (0.564);Н (0.560);Ь (0.552);Ж (0.550);Щ (0.542);А (0.541);Х (0.540);О (0.535);Ш (0.525);Ю (0.524);Ц (0.511);С (0.505);Ъ (0.491);У (0.479);Ч (0.475);Т (0.468);Г (0.453)
Х (0.972);Д (0.935);Э (0.928);У (0.922);А (0.916);Ъ (0.914);О (0.906);Л (0.887);Ц (0.884);З (0.882);Й (0.879);С (0.871);Ж (0.852);Ё (0.852);Щ (0.847);Ч (0.842);К (0.836);Е (0.829);Ф (0.828);П (0.828);Ю (0.827);Н (0.824);Ь (0.823);Б (0.816);Я (0.812);Ш (0.807);И (0.804);Р (0.794);В (0.785);М (0.784);Т (0.774);Г (0.684);I (0.527)
О (0.979);Ц (0.938);Ъ (0.916);Д (0.907);Х (0.904);Э (0.903);Ч (0.890);Щ (0.889);Л (0.888);С (0.886);Ю (0.884);У (0.883);П (0.877);Н (0.868);Ш (0.865);Ж (0.863);А (0.862);Й (0.860);З (0.845);Ь (0.825);Ф (0.821);Ё (0.819);И (0.817);Е (0.815);К (0.813);М (0.812);Б (0.806);Я (0.805);Р (0.793);В (0.778);Т (0.738);Г (0.674);I (0.516)
Б (0.963);К (0.927);Е (0.920);Ё (0.909);В (0.909);Й (0.905);Д (0.873);Ь (0.852);И (0.850);Ф (0.836);З (0.830);А (0.825);Э (0.819);Р (0.818);Х (0.817);О (0.817);Я (0.815);М (0.815);Ц (0.812);Щ (0.811);Н (0.802);Ж (0.796);С (0.795);Ю (0.792);П (0.789);Л (0.787);Ш (0.781);Ъ (0.777);У (0.751);Ч (0.726);I (0.673);Т (0.669);Г (0.668)
Л (0.988);Э (0.928);З (0.901);Д (0.897);Х (0.893);О (0.885);У (0.884);П (0.866);Ъ (0.861);Ч (0.860);Я (0.845);Ц (0.834);Ж (0.831);С (0.830);А (0.830);Й (0.822);Н (0.818);Щ (0.818);Ф (0.805);Ю (0.803);И (0.801);Е (0.793);Ш (0.791);Б (0.790);Т (0.788);К (0.785);Ё (0.783);М (0.783);Р (0.777);В (0.774);Ь (0.747);Г (0.652);I (0.548)
А (0.983);Х (0.933);Д (0.911);Ъ (0.910);Й (0.909);Э (0.896);О (0.878);Ж (0.877);Ц (0.872);Ф (0.867);Щ (0.866);Ь (0.865);У (0.863);З (0.848);Ё (0.847);К (0.844);Л (0.839);Н (0.838);Ю (0.832);И (0.828);Б (0.825);Ч (0.825);Ш (0.822);Е (0.821);С (0.819);Я (0.816);М (0.809);В (0.802);П (0.794);Р (0.793);Т (0.713);Г (0.641);I (0.533)
С (0.984);Ц (0.868);О (0.861);У (0.860);Д (0.851);Х (0.844);Ё (0.841);Э (0.830);Ъ (0.828);Л (0.818);З (0.816);Е (0.807);Й (0.804);П (0.801);А (0.798);К (0.792);Ю (0.786);Ь (0.781);Щ (0.780);Ч (0.776);Т (0.770);Б (0.770);Ш (0.759);Г (0.757);Н (0.755);Ж (0.751);Р (0.741);Ф (0.725);И (0.723);В (0.721);Я (0.715);М (0.707);I (0.491)
Т (0.935);У (0.788);С (0.759);Г (0.757);Л (0.747);Х (0.738);З (0.735);Э (0.717);Д (0.714);Ё (0.697);П (0.694);О (0.694);Е (0.688);Ъ (0.680);А (0.673);К (0.669);Ц (0.665);Р (0.659);Ч (0.657);Й (0.643);Я (0.638);Б (0.638);Ж (0.628);Ю (0.616);Щ (0.612);Н (0.604);Ф (0.602);В (0.601);И (0.588);Ь (0.587);Ш (0.576);М (0.561);I (0.430)
Ё (0.953);Е (0.940);К (0.923);Б (0.908);Й (0.868);Д (0.867);В (0.849);С (0.839);Ь (0.829);З (0.825);Х (0.821);О (0.818);Ц (0.816);Р (0.815);А (0.811);Э (0.810);И (0.798);П (0.792);Ф (0.790);Л (0.786);Щ (0.786);Ю (0.780);Я (0.776);Н (0.773);Ъ (0.772);У (0.772);Ж (0.769);М (0.766);Ш (0.754);Г (0.734);Ч (0.718);Т (0.710);I (0.636)
Й (0.968);Д (0.944);А (0.910);Э (0.909);Х (0.896);Ф (0.890);О (0.887);Б (0.883);И (0.880);Щ (0.880);З (0.880);Ъ (0.877);Ь (0.876);Ц (0.876);Ж (0.872);К (0.869);В (0.862);Ё (0.862);Н (0.861);Я (0.855);М (0.854);Л (0.853);Е (0.852);Ш (0.848);Ю (0.841);У (0.823);С (0.817);П (0.817);Ч (0.815);Р (0.801);Т (0.691);Г (0.630);I (0.598)
Э (0.968);Д (0.967);З (0.930);Х (0.926);Л (0.915);О (0.906);Ъ (0.896);Й (0.896);А (0.886);У (0.879);Ц (0.876);С (0.854);Щ (0.850);Ж (0.849);Я (0.844);Ё (0.841);Ч (0.841);Ф (0.840);Б (0.838);П (0.838);Н (0.835);К (0.832);И (0.832);Е (0.831);Ю (0.822);Ш (0.821);Ь (0.816);В (0.813);М (0.809);Р (0.783);Т (0.749);Г (0.654);I (0.569)
А (0.983);Х (0.933);Д (0.911);Ъ (0.910);Й (0.909);Э (0.896);О (0.878);Ж (0.877);Ц (0.872);Ф (0.867);Щ (0.866);Ь (0.865);У (0.863);З (0.848);Ё (0.847);К (0.844);Л (0.839);Н (0.838);Ю (0.832);И (0.828);Б (0.825);Ч (0.825);Ш (0.822);Е (0.821);С (0.819);Я (0.816);М (0.809);В (0.802);П (0.794);Р (0.793);Т (0.713);Г (0.641);I (0.533)
С (0.984);Ц (0.868);О (0.861);У (0.860);Д (0.851);Х (0.844);Ё (0.841);Э (0.830);Ъ (0.828);Л (0.818);З (0.816);Е (0.807);Й (0.804);П (0.801);А (0.798);К (0.792);Ю (0.786);Ь (0.781);Щ (0.780);Ч (0.776);Т (0.770);Б (0.770);Ш (0.759);Г (0.757);Н (0.755);Ж (0.751);Р (0.741);Ф (0.725);И (0.723);В (0.721);Я (0.715);М (0.707);I (0.491)
